Año;Nro_Mes;Mes;Cuenta_de_Ingreso;Importe_Original;Importe_Numerico;Porcentaje_Original;Porcentaje_Numerico
2024;03;Marzo;"CHINA MAYORISTA";"18.078,00";18078;"0.05%";0.0005
2024;04;Abril;"MERCADO LIBRE";"26.017.492,17";26017492.17;"68.99%";0.6899
2024;04;Abril;"MOSTRADOR";"4.837.308,41";4837308.41;"12.83%";0.1283
2024;04;Abril;"INSTAGRAM";"3.469.401,53";3469401.53;"9.2%";0.092
2024;04;Abril;"MAYORISTA";"1.788.205,00";1788205;"4.74%";0.047400000000000005
2024;04;Abril;"WHATSAPP";"1.599.558,83";1599558.83;"4.24%";0.0424
2024;05;Mayo;"MERCADO LIBRE";"33.079.462,19";33079462.19;"73.22%";0.7322
2024;05;Mayo;"MOSTRADOR";"4.746.053,34";4746053.34;"10.51%";0.1051
2024;05;Mayo;"INSTAGRAM";"3.546.483,98";3546483.98;"7.85%";0.0785
2024;05;Mayo;"MAYORISTA";"2.216.241,00";2216241;"4.91%";0.049100000000000005
2024;05;Mayo;"WHATSAPP";"1.504.790,00";1504790;"3.33%";0.0333
2024;05;Mayo;"NOTA CREDITO";"84.901,96";84901.96;"0.19%";0.0019
2024;06;Junio;"MERCADO LIBRE";"43.077.441,90";43077441.9;"78.76%";0.7876000000000001
2024;06;Junio;"MOSTRADOR";"4.985.999,11";4985999.11;"9.12%";0.09119999999999999
2024;06;Junio;"WHATSAPP";"2.350.295,14";2350295.14;"4.3%";0.043
2024;06;Junio;"INSTAGRAM";"2.323.060,00";2323060;"4.25%";0.0425
2024;06;Junio;"MAYORISTA";"1.917.963,00";1917963;"3.51%";0.0351
2024;06;Junio;"S/D";"40.700,00";40700;"0.07%";0.0007000000000000001
2024;07;Julio;"MERCADO LIBRE";"44.546.562,70";44546562.7;"72%";0.72
2024;07;Julio;"MOSTRADOR";"5.997.352,99";5997352.99;"9.69%";0.0969
2024;07;Julio;"INSTAGRAM";"5.630.685,65";5630685.65;"9.1%";0.091
2024;07;Julio;"MAYORISTA";"3.429.282,00";3429282;"5.54%";0.0554
2024;07;Julio;"WHATSAPP";"2.262.134,69";2262134.69;"3.66%";0.0366
2024;08;Agoto;"MERCADO LIBRE";"50.590.355,25";50590355.25;"69.67%";0.6967
2024;08;Agoto;"MAYORISTA";"11.194.292,99";11194292.99;"15.42%";0.1542
2024;08;Agoto;"MOSTRADOR";"5.825.081,19";5825081.19;"8.02%";0.0802
2024;08;Agoto;"INSTAGRAM";"2.908.844,49";2908844.49;"4.01%";0.0401
2024;08;Agoto;"WHATSAPP";"2.093.995,00";2093995;"2.88%";0.0288
2024;09;Septiembre;"MERCADO LIBRE";"50.304.310,58";50304310.58;"70.29%";0.7029000000000001
2024;09;Septiembre;"MAYORISTA";"6.669.576,00";6669576;"9.32%";0.0932
2024;09;Septiembre;"MOSTRADOR";"6.633.418,16";6633418.16;"9.27%";0.09269999999999999
2024;09;Septiembre;"INSTAGRAM";"4.930.884,02";4930884.02;"6.89%";0.0689
2024;09;Septiembre;"WHATSAPP";"3.024.616,00";3024616;"4.23%";0.042300000000000004
2024;10;Octubre;"MERCADO LIBRE";"42.736.983,02";42736983.02;"64.63%";0.6463
2024;10;Octubre;"MAYORISTA";"11.636.994,02";11636994.02;"17.6%";0.17600000000000002
2024;10;Octubre;"MOSTRADOR";"6.273.490,02";6273490.02;"9.49%";0.0949
2024;10;Octubre;"INSTAGRAM";"4.020.861,32";4020861.32;"6.08%";0.0608
2024;10;Octubre;"WHATSAPP";"1.453.568,07";1453568.07;"2.2%";0.022000000000000002
2024;11;Noviembre;"MERCADO LIBRE";"44.726.981,99";44726981.99;"64.16%";0.6416
